SAE,AAVE
"Yes, there is also this black female doctor you need to visit. When i remember Her name, i will send it to you.
","yes theres also this black female Dr you need to check out.. when i rememberher name ill link you
"
"So he posted a status that said \""lonely\"" and a modeljust messaged him
","so he put a status that says lonely up and a modelhoe just hit him up...
"
"The Travel Channel is blowing my mind right now with all of these American fast food delicacies that haveturned up in Asia.
","The travel channel is blowing me right now with all these American fast food delicacies that havebeen turnt up in Asia
"
"So, big boy is out here like “fuck it, I’m going to hop on all of the tracks 3000 says he is featured onand give you all the remix.
","So big Boi out here like fuck it Imma hop on all the tracks 3000 calls himself featuring onand give y'all the remix
"
"Yes, I think we should incorporate our outrage in the name, so that thebandit knows we mean business
","Yes I think we should incorporate our outrage in the name.. so that thebandit knows we mean business
"
"Atlanta fans might as well clock out.. you already know theending to this story ..
","Atlanta fans might as well clock out.. You already know theending to this story ...""
"
"I agree with you. As you know, the Nevas Intro is wasting Google Imaging time, they need for you to stop it
","I agree You know.. this Nev as Intro is taking up precious Google Imaging time.. Theyneed to cut this bullshit
"
"Is that Oprah interview on right now? Because she's crazy if she thinks wewould miss watching Scandal
","Is that Oprah interview on right now? ... Cause she tripping if she think wewas gonna pass up scandal
"
"Now, don't be surprised if your woman counts down backwards the next time you say some stupid shit.you say some stupid shit
","Now niggas dont be surprised also if your woman counts down backwards next timeyou say some stupid shit
"
"There are some people who can not accept the truth but they will revisit your tweets in the future whenthey have nothing, so they can acquire the results
","some people just can't accept the truth but hey he will revisit your tweets in the future whenhe's nothing getting the results
"
"I am curious to know how much the individual who is in charge  of yhe Obama's Twitter account gets paid
","I wonder how much the person who is in charge of theobama twitter account gets paid
"
"And he said, \""My first name is Rod, baby...AJ is a family nickname and it's whatI prefer to be calle
","And he would have been like oh man my first name is Rod babe ..A.j is a family nickname and whatI prefer to be called
"
"Which are A) she was a lesbian for 15 years and B) she has an 11 year old,which means she's had sex with a man
","which are A) she was a lesbian for 15 yrs and B) she got an 11 yr oldwhich means she's had penis
"
"You still may be able to worship at the altar, I don't think the doors to thechurch are closed just ye
","you still may be able to worship at the alter I don't think the doors to thechurch are closed just yet
"
"Yes, they are still the same just a little more vocal now that we are grown and they Express themselves in speech freely
","yeah man they still the same just more turnt up now that we all grown and theycan say what they want
"
"This broad worked us for an hour straight and did not even give us onewater break. The inhumanity.
","This broad worked us out for an hour straight and ain't give not onewater break .. The inhumanity
"
"Frank Ocean can probably fight as he has been training to beat up Chris Brown. Breezy will never liveit down if he happened to lose
","Frank ocean can probably fight .. He prob been training for the moment to fuck Chris brown up .. Breezy will never loveit down if he lost
"
"The first cause is that Frank writes passionate songs about men and the second cause is that Breezy talked badly in his Twitter rantabout Odd Future, but he deleted it
","Cause a) frank writes passionate songs about men and b) breezy talked a lot of shit in that twitter rantabout odd future he deleted
"
"I am not confused about anything as this works for me, but it so happens that my coworkers keep laughingat how small it is
","Now I'm not tripping because it works for me..but all my coworkers keep laughingat how small it is
"
"I unfortunately had to take the bigger weights off and accidentally dropped a weight and all theguys came to my aid
","So I had to take the big weights off the ends needless to say I dropped a weight and all theguys came to my aid
"
"I’m dying laughing. I think I busted a vocal cord laughing so hard. “You Look Horrible Tonight” is the song of the year.
","I'm dying laughing. I think I bust a vocal cord laughing so hard. ""... You look horrible tonight"" song of the year. 
"
"No way, he likes her, and she logs into his phone, even though shedoes not like him
","N . Nawll , Boo likee her , shee log in on his phone , she dnt like his ugly ass
"
"I walked up to this guy disrespecting a female. I told him I may be a virgin, but I know a pussy when I see one. Why the fuckare you hitting a lady
","I walked up to sum nigga disrespectin a female.I told him I might be a Virgin but I kno a pussy wen I see one...#fukkyhu hittin a lady for
"
"If I can’t love you like I’m supposed to and you’d rather get beaten by another person, why be with you? You deserve better.
","If I can't love yhu like I'm suppose to and yhu rather get beat on by another person why bewith yhu..# yhu deserve better
"
"If I could grow a perfect pair of breasts, they would sit next to my bed.sit next to my bed
","If I could grow a perfect pair of breasts, they wouldsit next to my bed.
"
"Yesterday, I got the sweetest text from a person that I thoughtdidn't love me anymor
","YESTERDAY I GOT THE SWEETEST TXT FROM A PERSON THAT I THOUGHTHIS LOVE 4 ME DIED.....
"
"Ok I'm still out here. Still turnt up. What'swrong with me? Haha.
","Ok I'm still out here .. Still turnt up .. What'swrong wit me .. Lol
"
"I want to give a special shout out to my brother from another mother my friend until we die happy birthday my friend and many more.
","Want 2 give a special Shoutz 2 my brother from another mother My G 2 the casket drop Happy bornday my G many more..
"
"Umm...do I need to go back and read your tweets for all thisnonsense that I missed earlier? That's funn
","ummm..do I need to go back & read ur tweets for all thisfuckery i missed earlier?? lol
"
"It’s not sick. That’s funny. It’s just a bit extreme. Nothing is wrong with an extra pair of undies while traveling, but not a WHOLE duffel bag!
","not sick. Lol just a bit extreme. Nothing's wrong with extra pair of undies when traveling.But a WHOLE duffle bag!!
"
"Dr. Haynes, I live in Georgia and I would like to know, what time are you on the Ricky Smiley show and how canI hear you more? Thanks
","Dr Haynes I live in Georgia and I would like to know what time are you on Ricky Smiley show and how canI hear u more. Thanks
"
"Bitch, shut your dumb ass up. I'm done talking. If you have something to say, sayit to my face, okay
","bitch shutt yo clown ass uhpp im dnee tlkin if u gott sum 2 sayy.. Sayyit to my facee kk
"
"\""I know where you're from,\"" he said. \""You know him, look at my pic\""I just put up of him, brothe
","ibknow where u from he said u know him look at my pic Ijust up of him bro
"
"I have received everything I have ever wanted because she makes me better. She needs to wake them up or they willnever be able to gain weight
","i got everything i ever wanted be she makes me better rs she better wake up these lil nigga willneva get thy weight up
"
"I really miss Pat and Maurice staying here, they used toaccept my offers all the time
","Low key I do miss pat and Maurice staying here with me they use to bethe bid all day everyday
"
"It is hard to be just be friends with someone you usedto be in love with
","You really can't ever be just friends with someone you usedto be in love with.
"
"Everyone, lock up your man, because I will try and take your man and you will neverknow, so be careful everyone
","everyone lock y'all man up cause will try and take ur man and u will neverknow so be careful y'all
"
"Not a single person is immune from the trials and tribulations of life, if you think youare, just keep doing what you have been doing
","NO ONE is immune from the trials and tribulations of life, if you think youare, just keep on living.... 
"
"Bad grammar is my pet peeve! Everyone needs help grammatically from time to time, butthat is what Google is for
","Bad GRAMMER is my Pet PEEVE!!!!!!! EVERYONE needs help from time to time grammatically, butthat what GOOGLE is for!!!
"
"I'm on the phone with my grandma and she keeps saying \""we're going to get off the phone now,\"" but then she keeps talking! Come on
","Ona phn with my grandma an he keep sayn we gon get off the phn now but thn shekeep talkn .! Come on
"
"So, apparently, Bey sang/lipped to a prerecorded tape of her version of the anthem at the inauguration.
","So apparantly Bey sang/lipped to a pre recorded tape of her version ofthe anthem at the inauguration
"
"I love Vineyard seven and eight! I was supposed to have a tasting/tour there todaybut I had to cancel.
","Love vineyard 7&8! I was supposed to have a tasting/tour there todaybut had to cancel :(
"
"A study of delicious coffee, chocolate, bourbon, gin, pine and pizzaHave a good night gentlemen
","A study in delicious coffee, chocolate, bourbon, gin, pine, & pizza.Have a good night gents.
"
"If you're my friend, really my friend, go and get some girlsand bring them to me
","If u fuckin with me.... Really fuckin with me u go get sum girlsn bring em to me
"
"He must not know that I don't like the bitch word, \""homie\"". That word cause a coupleof teeth to go missing
","He must not know I don't do the bitch word homie..that word causes for a coupleof teeth to go missing..
"
"Mommy asked me to go grocery shopping with her and my grandma. No, I’m good. They will bein the store for hours.
","Mommie asked me to go grocery shopping with her and my grandma... Naw I'm good they bein the store for hours..
"
"You can’t lose what you never had, you can’t keep what’s not yours, and you can’t hold onto somethingthat doesn’t want to stay.
","You can't lose what you never had, you can't keep what's not yours & you can't hold on to something that doesn't want to stay.
"
"Girls want to know...girls want to show...they know my name they know a..i'm stron
","Hoes wanna know..hoes wanna show..they know a nigga name they know anigga strong (Rick Ross voice)
"
"I’m going to let you all know soon and you are coming even if I have to drag you out of the house.
","imma let y'all know soon and you coming if I have todrag u out the house
"
"I tried to feed you boys, now it's time foryou boys to go to be
","I try to let u pussy niggas eat its time to putu pussy boys to sleep
"
"That’s not going to be hard. All I need to do is pass this testtomorrow and pass my midterms.
","But that ain't gon be hard all I Need to do is pass this testtomorrow and pass my midterms
"
"He is mad that he came over to my house unannounced and I wasnot there. That is not my issue to deal with
","He mad He came over My House unannounced and I wasgone. Not My Problem !
"
"I am tired of always playing in the back. I am going to increase the intensityof the game. Definitely
","I'm tired of playing the back. I'm bout to bring some fireto the game. Real talk!!!
"
"With everything you just said, the injuries were still in place to make the post season. Firing Garrett would do nothing.
","with everything you just said injuries they still were in place to make the postseasonFiring Garrett would do nothing
"
"If she liked the first gift, that is only the tip of the iceberg. Ihave a trick up my sleeve
","if she liked the first gift thats only the tip of the icebergh igot a trick up mysleeve
"
"If I was with her tonight I would kiss her. Unfortunately it is too late, so I will kiss my handinstead. I am laughing, well darn, hopefully tomorrow
","If I was with tonight, I'd kiss her. Too late. (Kisses hand instead)"" Awww <3 tomorrow lol
"
"What the fuck is so difficult about coming back to pick up a badge so that your check is correct. I am not goingto clock you in. Shake my head
","Wtf is so hard about coming to pick up a badge so your check is correct..: I'm not aboutto clock you in. Smh
"
"I got some new lipstick in the mail and her damn hair oils. It had me excited thinking it was my phone cases.
","Got some new lipstick in the mail and got her damn hair oils. Had me excited likeit was my phone cases
"
"I am whom you want and what you need. She has you trapped, but i can set you free, sexually, mentally, psychically, and emotionally.
","I'm what you want. I'm what you need. She got you trapped ill set youfree. Sexually, mentally, psychically, emotionally
"
"Although I am up, my boss said to weight whether it is safe for me to go to work. So I am going, but I am going to takemy time as I do not have time to mess up
","So I'm up... But my boss said gage whether its safe for me to go to work... I'm going but I'm gonna takemy time...no time for accidents
"
"The older the berry the sweeter the juice. Friend, it is the blacker the berry the sweeter the juice. Well yes, then sheis blacker than others too
","Older the berry the sweeter the juice... Man it's the blacker the berry the sweeter the juice. Well yea sheblack then a muhfucka too
"
"If I was Olivia I wouldn't do the record either.  She has got to know that after last season her music isn't going anywhere.isn't going anywhere
","I mean if I was Olivia I wouldn't do the record either but she gotta know even after last season her musicisn't going anywhere with
"
"I know how to work the system. The clothes I bring in look better than what they haveon their backs now.
","I know how to work the system the clothes I bring in looks better than what they haveon their backs how
"
"Gatorade and Powerade used to be so nasty to me butnow I love that shit.
","Gatorade and powerade use to be so nasty to me butnow I luh Dat shit
"
"That’s funny. I had to go see this tweet for myself. It’s ashame it’s the truth, though.
","lmaooo I had to go see this tweet for myself... It's ashame it's the truth tho
"
"Every person looks great, therefore, if I was not black, Iwould prefer to be Persian
","they all look good that's why if I wasn't black Iwould hope I was Persian
"
"Or go to food services, but either way, corporate needs to send them some damn sauce
","or go to food services but either way corporate need tosend them some damn sauce
"
"I could accept us not being together but I couldn't accept us not being friends and nowit seems like I can.
","I could accept us not being together but i couldn't accept us not being friends and nowit seems like i can
"
"In NCAAB, Texas A&M Elston Turner scores 40 points in an 83-71 win by Kentucky. It was the first SEC homeloss for John Calipari.
","NCAAB - Texas A&M G Elston Turner scores 40 pts in 83-71 win at Kentucky; 1st SEC homeloss for John Calipari lose
"
"My mother disappoints me sometimes...why does my lifehave to be harder? gosh.
","My mom blows the fuck out of me at times... Fuck my lifehave to harder for? Damn
"
"Boy, Teya is trying to see granny and such. I'm going to see though, i'm going tohit your boost! No questions
","boy teya tryin go see granny, & shit. Ima see doe, imahit ur boost!"" No questions
"
"I got the jack. What else do I need? I need sugar and pebbles.That is in it
","I got the jack wat else I need sugar wats dem pebblesthat be in that shit
"
"I'm tired of so many people. \""I\""m so shady\"" \""Hi! What's going on?\"" I'm at theABC store with it. I'm going to talk to you.
","I'm over so many ppl , I'm so shady"" aye wats good"" I'm at theabc store with it""ima holla
"
"Ten dollars for a call from jail. This shit is over with. See you when you come home, brother.
","Ten dollars from a call from jail... Shit over wit... See uwhen u come home bro
"
"I think there is a raccoon or possum walking around in my house, I'mreally scared right no
","I think it's a raccon or possum walkin round my house I'mscared ass shit rite now
"
"People's whose kids are named after stores aren't going to be able to spell their names until they're twelve...and write their name in cursiveuntil they're like twenty. I'm shaking my head.
","Ppl kids name after stores aint Goin be able to spell them joints till they twelve...and write they name in cursivetill they like 20 smh
"
"The two for ten deal at Friday's is worth it because the food is served quickly because fast food restaurants want to servetrash food quickly for ten dollars.
","2 for 10 at Fridays be so clutch for the quickness cuz fast food joints want10 dillas for some trash
"
"People's meals on instagram look like some real trash. Keep that shit in your house!
","Ppl plates on the gram be lookin like some straight trashkeep that shit in house!!!
"
"I just called my girlfriend and she finished schoolshe smoke my joint to
","I jus call boo and she finished Skool she drink andshe smoke my reefer too...
"
"I'm about to look at forty meals on instagram that will get meexcited. I'm starving. Damn.
","Bout to see like 40 plates on the gram get meheated I'm starving like shit
"
"Boy, you have two different females texting you. So I'm going to havetwo different men texting me.
","Boaaaa, u got TWO DIFFERENT FEMALES TEXTING YOU.... SOOOO IMAA HAVETWO DIFFERENT NIGGA TEXTING ME.
"
"70 degrees in Nashville. About to take a trip and then heading to the bar to get drunk. After that I will be.
","70 degrees in Nashville. Bout to take a trip to and then heading to get my drunk on. After thatI will be at .
"
"In the same way, they announced the arrival of my train after itpulled off, I'm so not happy
","Continuing the same way, they announced the arrival of my train after itpulls off, so not happy
"
"Women get into trouble in on the streets and when someone pressures themthey tell the police
","Females be get they self into street shit but wen somebody put pressure on theyass they tell the police
"
"A.J., have you ever thought about leaving TNA and going to the WWW? With your skills, they wouldn'tknow what hit them. Trust me
","A.J., have u ever thought about leaving TNA and going to the WWW? With your skills, they wouldn'tknow what hit them.trust me.
"
"I had no choice! I was already all into the television showand couldn't look away. I'm laughing!
","i had no choice ! Like i was already all into the tvand couldn't look away lol
"
"When I see a pretty girl who has a weave it is the same as seeing a man with an inky black dye combed through his hair
","When I see a pretty girl with weave its the equivalent to a girl seeing a dudewith Beijing in his hair""
"
"It is funny watching Negros go through problems like I do but it is not funny when I go  through shit. Fuck it though.
","It's funny a watching niggas go thru problems like I do but it's not funny when I gothru shit fuck it tho
"
"Men, call a single woman that's been ignored lately. Say you need to do something nice for her and make her feel goodand kiss he
","Fellas call dat single chick dats been sitting outt all cuffing season, say u gonna shovel her snow, ring her belland kiss her in mouth
"
"She is going to have to make a decision right then and there. Kiss on the mouth withan ass grab...or no snow shovel.
","She gonna have to make a decision right then and there...Kiss in mouth withass grab...or no snow shovel...
"
"Soon the people that don't play basketball are going to say that Griner could play in the NBA, when she actually couldn't make a division 1 or a division 2 team.
","Soon the none basketball playing in LIFE clowns are gonna say Griner could play NBA ball...when she couldn't makea D1 or D2 team.
"
"Middle age buddy that shovel that is for his ride and had a bad day going to be onsome bus driver stuff, that's funny
","middle age buddy dat shovel dat ish for his whip and had a bad day gonna be onsome bus driver ish lol
"
"Sadly, so many high schools have crippled these players academically, that even JUCO is hard for them.
","Sadly so many HS has crippled these players academically that evenJUCO is hard for them...
"
"Tell them what happened to the mouse in the house the next next play though. (Then askwho won all the games).
","tell em what happen to the mouse n the house the VERY next play tho (den askwho won ALL the games)
"
"Have you ever bumped into someone your age and he still takes gang banging seriously? At what age does a reference to another gangnot make you want to fight
","U eva bump into a nigga yo age and he STILL take Gang banging serious? At what age do a reference of another gangNOT make u wanna fight?
"
"Dear Greeks, if by thirty becoming a member of your organization is your greatest achievement, you don't deserve your fucking letters.
","Dear Greeks, If by 30 becoming a member of your org is ur greatest achievement...Udon't deserve ur fucking letters.
"
"Once I am able to escape this competitive struggle for wealth and power I will be taking daytime naps and I will go to the chiropractor.
","I swear when I get out this rat race imma be taking middaynaps and going to chiropractor...
"
"Ladies, the older you are in life the more things you aregoing to have to sift through
","Ladies, the older you are in the ""game"" the more Bullshit urgonna have to sift thru...
"
"I'm sick of going to this dealership when random lights go out. However I do lovea free truck wash.
","Sick of going to this dealership for random lights going out...BUT I do lovea free truck wash. *bling*
"
"Half of what you want is better than zero of what you want. But it's mean if vocalized.
","1/2 of what you want > Zero of what you want.But its mean if vocalized
"
"Bill collectors take fractions of debt on the dollar sometimes, and I don't expect you toagree about the RS, man.
","Bill collectors take fractions of debt on the dollar sometimes...and I don't expect u 2agree about the RS ish...
"
"Fucking where is it? So it's a store that will sell you fourfifths of Patron for $49.99.
","Fucking WhERE?!!!! T So its a store that will sell U 4fifth of Patron for 49.99
"
"Immediately go back to the hotel and hope you don't have too many jerks on your team that play the replay on their ipads.
","immediately go back to hotel and hope u aint got TOO many jerks on ur team dat playthe replay on they ipads.
"
"All the women who have sent off the shape  challenged women should be ashamed.of the world. Shame on you
","Shame on ALL you women that has sent off the Shape Challenged womenof the world...shame on yall.
"
"On the way to the gym to sweat the rest of this bug out. I can't beconducting workshops looking sick.
","On way 2 gym to sweat the rest of this bug out...can't beconducting workshops looking all sick
"
"We're not going for that family. My kid is going to get all the cool shit...because Daddy and Mommy work hard as shit for it.
","we aint going for that fam. My kid gonna get ALL the cool shit...cuz Daddy and Mommy workshard as shit for it.
"
"Yeah you know with Groupon they just give you that moneyback to get something else
","yea u know with groupon they jus give u dat breadback to get sumthing else...
"
"So the other business units are sending emails to IT while weare in conference because they are out. I'm shaking my head.
","Sooo the other business units sending emails to IT while wein conference cuz they out...smh
"
"Kelly is a fat ass heifer...and we lover it! Let her show her crotch...We are lovingher direction right now. Laugh out loud.
","Kelly is a Fast ass Heffa...and we love it! Let her set dat poon out...We lovingher direction right now lol
"
"It doesn't work when you work everyday while those that aren't working are sitting around eyingthings you've worked hard for
","it doesn't work when u work everyday and dem bums sitting in ur hood watching YOURshit u worked hard for.
"
"In three years do you have the ability to do the same thing you are doing now.If you do not you are wasting your time
","Can you do what you doing right now...3 years from now?If not your wasting time.
"
"I can actually believe the stat. I was wondering who tookthe time to take the poll.
","I can actually beleive the stat...i was just wondering who tooktime to take the poll.
"
"Every time I ask for a cup of water at a fast food restaurant, I always fill it up with soda.
","Everytime I ask for a cup for water at a fastfood Joint...I alwaysfill it up with pop
"
"I hate the little sign on my phone that says I' have a voicemail...I hate the red light on my workphone when I have a voicemail.
","I hate the lil sign on my phone dat says I gotta Voice Mail...I hate the red lite on my workphone when I gotta Vmail.
"
"I'm more of the service-at-a-soup-kitchen, paint-a-school type of community service kind ofguy. I'm not a role model.
","I'm more of the service at a soup kitchen..Paint a School type of Community Service kindaguy...I'm not a role model.
"
"I have been on auto pay forever. I got one percent inapr deduction because of it.
","I been on auto pay since foreva! Got some 1percent inapr deduction cuz of it.
"
"I couldn't do anything by laugh...she was dead serious and smiled in my face like \""yeahman, you see it\"". It was funny.
","I couldn't do shit but laugh...she was dead serious and smiled in my face like ""yeanigga u see it"" lol
"
"Then she is so gangster. She ends the conversation, looks at me for a little bit, and then opens up this bible pamphlet
","Den she so gangsta...she ends convo looks at me for little bite denopens up this bible pamphlet!!!
"
"I didn't speak about Lillard because I never mentioned him. I spoke about AD and Barnes Like I expected, Barnes isgoing to take it well.
","I didnt speak on Lillard cuz i made no reference to him.i spoke on AD and Barnes.and Barnes like i expected isgonna be a good pro
"
"I said AD won't beat ROY, and Barnes was going to be a good pro, and the game wasmore suited for the pros.
","I said AD wont be ROY and Barnes was gonna be a Good Pro...and Game wasmore suited for the Pros
"
"That's a recipe for disaster. A woman that won't shut up or sit down. When is that ever going to getwins? It's less extreme ways.
","that's a recipe for disaster. A woman that won't shut up or sit down. When is that ever gonna getwins? Its less extreme ways.
"
"We can agree to disagree, but I'm no advocate to any woman thinking it's ok to never shut up and have a seat.
","we can agree 2 disagree. But I'm no advocate to any woman thinking its ok 2 neva shutup and have a seat...
"
"I think every Married woman on my timeline is nodding their head...while thesingle ones are not catching it
","I think every Married woman on my TL is nodding they heads...while thesingle ones aint catching it.
"
"If everyone calmed down before making a decision a lot will be different...but to be fair a woman carrying on is as annoying as shit. Laugh out loud.
","if everyone calmed down before making a decision a lot will be different...But to be fair a woman fussingis annoying as shit lol
"
"Let DJ come home and tell me all he did was watch videos with a sub and everyonein class doesn't have books. Shit.
","let DJ come home and tell me all he did was watch Videos with a Sub and every 1in class aint got books.sheeid
"
"Sometimes, men approach some women who are not that cute because they hope she is super attentive and domesticand has an untouched good vagina.
","Sometimes dudes holla at chicks dats not that cute cuz they hope she like super attentive and domesticand got untapped good poon.
"
"Are you trying to say that getting a white woman will help you be great ifyou're a black man? Laugh out loud.
","are u trying to say that getting a white woman will help u be great ifyour a black man? lol
"
"How is that funny? Maybe interaction with you is more immediately satisfying than those causes...wearen't all that self righteous, brother.
","how is that funny? Maybe interaction with you is more immediatly satisfying that those causes...weall aint self righteous bruh
"
"It helps by showing you can be responsible for yourself and that'sthe first step before unity.
","it helps by showin u can be responsible for SELF and thatsthe 1st step before unity.
"
"And that's just one scenario...it's a mile more ...hence why the bases should be..Be a responsible person. Period.
","and thats just one scenrio....its a mille more...hence why the bases shouldbe ...BE A RESPONSIBLE PERSON..Period
"
"How do you understand an analogy, but yet not understand it at the same time? OK. Let me try this. You're not a dad. Do you think you can speakabout it to dad?
","how do u understand an analogy and not at same time? Ok lemme try this...ur not a dad...do u think u can speakon it 2 a dad?
"
"I was showing all types of baby thigh meat in high school. Now her future kidscan't be all fast. It's funny.
","was showing all types of baby thigh meat in HS now her future kidscan't be alil fast lol
"
"Ladies, if you ever used the line \""I'm too much woman for you anyway\"" to justifyany argument then you are a fat girl.
","Ladies If u EVER used the line ""I'm 2 much woman for u anyway"" to justifyany argument...U a Fat Girl.
"
"Attention is a hell of a drug though. And goofy people are raising the priceof it faster than gold.
","Attn is a helleva drug tho...and goofy mogs is raising the priceof it faster than Gold.
"
"I'm convinced that Jay-z's lack of desire, own finances and style and such made her overlook his camel-face. Women are less shallow.
","I'm convinced dat Hova lack of thirst, own bread, style nshit made her look over his camelface. Chicks are less shallow...
"
"Repeating the last three words of my questions back to medoes nothing you know, that's funny
","repeating the last 3 words of my questions back to medoes nuthing ya know lol
"
"It can pan out though, but that later-in-life leap of faith shit is not the right idea. Date aroundand you will be damaged goods by 34.
","It can pan out tho...but dat later in life leap of faith shit is NOT the groove...fuck around andbe damaged goods by 34
"
"No country for women leaving bread crumbs for the peole theyreally wanted to be with
","no country for chicks leaving bread crumps for the ppl theyREALLY wanted to be with
"
