sentid,pairid,type,comparison,sentence
34,33,AAE,unexpected,"The travel channel is blowing me right now with all these American fast food delicacies that havebeen turnt up in Asia
"
34,34,SAE,expected,"So, big boy is out here like “fuck it, I’m going to hop on all of the tracks 3000 says he is featured onand give you all the remix.
"
35,34,AAE,unexpected,"So big Boi out here like fuck it Imma hop on all the tracks 3000 calls himself featuring onand give y'all the remix
"
35,35,SAE,expected,"Yes, I think we should incorporate our outrage in the name, so that thebandit knows we mean business
"
36,35,AAE,unexpected,"Yes I think we should incorporate our outrage in the name.. so that thebandit knows we mean business
"
36,36,SAE,expected,"Atlanta fans might as well clock out.. you already know theending to this story ..
"
37,36,AAE,unexpected,"Atlanta fans might as well clock out.. You already know theending to this story ...""
"
37,37,SAE,expected,"I agree with you. As you know, the Nevas Intro is wasting Google Imaging time, they need for you to stop it
"
38,37,AAE,unexpected,"I agree You know.. this Nev as Intro is taking up precious Google Imaging time.. Theyneed to cut this bullshit
"
38,38,SAE,expected,"Is that Oprah interview on right now? Because she's crazy if she thinks wewould miss watching Scandal
"
39,38,AAE,unexpected,"Is that Oprah interview on right now? ... Cause she tripping if she think wewas gonna pass up scandal
"
39,39,SAE,expected,"Now, don't be surprised if your woman counts down backwards the next time you say some stupid shit.you say some stupid shit
"
40,39,AAE,unexpected,"Now niggas dont be surprised also if your woman counts down backwards next timeyou say some stupid shit
"
40,40,SAE,expected,"There are some people who can not accept the truth but they will revisit your tweets in the future whenthey have nothing, so they can acquire the results
"
41,40,AAE,unexpected,"some people just can't accept the truth but hey he will revisit your tweets in the future whenhe's nothing getting the results
"
41,41,SAE,expected,"I am curious to know how much the individual who is in charge  of yhe Obama's Twitter account gets paid
"
42,41,AAE,unexpected,"I wonder how much the person who is in charge of theobama twitter account gets paid
"
42,42,SAE,expected,"And he said, \""My first name is Rod, baby...AJ is a family nickname and it's whatI prefer to be calle
"
43,42,AAE,unexpected,"And he would have been like oh man my first name is Rod babe ..A.j is a family nickname and whatI prefer to be called
"
43,43,SAE,expected,"Which are A) she was a lesbian for 15 years and B) she has an 11 year old,which means she's had sex with a man
"
44,43,AAE,unexpected,"which are A) she was a lesbian for 15 yrs and B) she got an 11 yr oldwhich means she's had penis
"
44,44,SAE,expected,"You still may be able to worship at the altar, I don't think the doors to thechurch are closed just ye
"
45,44,AAE,unexpected,"you still may be able to worship at the alter I don't think the doors to thechurch are closed just yet
"
45,45,SAE,expected,"Yes, they are still the same just a little more vocal now that we are grown and they Express themselves in speech freely
"
46,45,AAE,unexpected,"yeah man they still the same just more turnt up now that we all grown and theycan say what they want
"
46,46,SAE,expected,"This broad worked us for an hour straight and did not even give us onewater break. The inhumanity.
"
47,46,AAE,unexpected,"This broad worked us out for an hour straight and ain't give not onewater break .. The inhumanity
"
47,47,SAE,expected,"Frank Ocean can probably fight as he has been training to beat up Chris Brown. Breezy will never liveit down if he happened to lose
"
48,47,AAE,unexpected,"Frank ocean can probably fight .. He prob been training for the moment to fuck Chris brown up .. Breezy will never loveit down if he lost
"
48,48,SAE,expected,"The first cause is that Frank writes passionate songs about men and the second cause is that Breezy talked badly in his Twitter rantabout Odd Future, but he deleted it
"
49,48,AAE,unexpected,"Cause a) frank writes passionate songs about men and b) breezy talked a lot of shit in that twitter rantabout odd future he deleted
"
49,49,SAE,expected,"I am not confused about anything as this works for me, but it so happens that my coworkers keep laughingat how small it is
"
50,49,AAE,unexpected,"Now I'm not tripping because it works for me..but all my coworkers keep laughingat how small it is
"
50,50,SAE,expected,"I unfortunately had to take the bigger weights off and accidentally dropped a weight and all theguys came to my aid
"
51,50,AAE,unexpected,"So I had to take the big weights off the ends needless to say I dropped a weight and all theguys came to my aid
"
51,51,SAE,expected,"I’m dying laughing. I think I busted a vocal cord laughing so hard. “You Look Horrible Tonight” is the song of the year.
"
52,51,AAE,unexpected,"I'm dying laughing. I think I bust a vocal cord laughing so hard. ""... You look horrible tonight"" song of the year. 
"
52,52,SAE,expected,"No way, he likes her, and she logs into his phone, even though shedoes not like him
"
53,52,AAE,unexpected,"N . Nawll , Boo likee her , shee log in on his phone , she dnt like his ugly ass
"
53,53,SAE,expected,"I walked up to this guy disrespecting a female. I told him I may be a virgin, but I know a pussy when I see one. Why the fuckare you hitting a lady
"
54,53,AAE,unexpected,"I walked up to sum nigga disrespectin a female.I told him I might be a Virgin but I kno a pussy wen I see one...#fukkyhu hittin a lady for
"
54,54,SAE,expected,"If I can’t love you like I’m supposed to and you’d rather get beaten by another person, why be with you? You deserve better.
"
55,54,AAE,unexpected,"If I can't love yhu like I'm suppose to and yhu rather get beat on by another person why bewith yhu..# yhu deserve better
"
55,55,SAE,expected,"If I could grow a perfect pair of breasts, they would sit next to my bed.sit next to my bed
"
56,55,AAE,unexpected,"If I could grow a perfect pair of breasts, they wouldsit next to my bed.
"
56,56,SAE,expected,"Yesterday, I got the sweetest text from a person that I thoughtdidn't love me anymor
"
57,56,AAE,unexpected,"YESTERDAY I GOT THE SWEETEST TXT FROM A PERSON THAT I THOUGHTHIS LOVE 4 ME DIED.....
"
57,57,SAE,expected,"Ok I'm still out here. Still turnt up. What'swrong with me? Haha.
"
58,57,AAE,unexpected,"Ok I'm still out here .. Still turnt up .. What'swrong wit me .. Lol
"
58,58,SAE,expected,"I want to give a special shout out to my brother from another mother my friend until we die happy birthday my friend and many more.
"
59,58,AAE,unexpected,"Want 2 give a special Shoutz 2 my brother from another mother My G 2 the casket drop Happy bornday my G many more..
"
59,59,SAE,expected,"Umm...do I need to go back and read your tweets for all thisnonsense that I missed earlier? That's funn
"
60,59,AAE,unexpected,"ummm..do I need to go back & read ur tweets for all thisfuckery i missed earlier?? lol
"
60,60,SAE,expected,"It’s not sick. That’s funny. It’s just a bit extreme. Nothing is wrong with an extra pair of undies while traveling, but not a WHOLE duffel bag!
"
61,60,AAE,unexpected,"not sick. Lol just a bit extreme. Nothing's wrong with extra pair of undies when traveling.But a WHOLE duffle bag!!
"
61,61,SAE,expected,"Dr. Haynes, I live in Georgia and I would like to know, what time are you on the Ricky Smiley show and how canI hear you more? Thanks
"
62,61,AAE,unexpected,"Dr Haynes I live in Georgia and I would like to know what time are you on Ricky Smiley show and how canI hear u more. Thanks
"
62,62,SAE,expected,"Bitch, shut your dumb ass up. I'm done talking. If you have something to say, sayit to my face, okay
"
63,62,AAE,unexpected,"bitch shutt yo clown ass uhpp im dnee tlkin if u gott sum 2 sayy.. Sayyit to my facee kk
"
63,63,SAE,expected,"\""I know where you're from,\"" he said. \""You know him, look at my pic\""I just put up of him, brothe
"
64,63,AAE,unexpected,"ibknow where u from he said u know him look at my pic Ijust up of him bro
"
64,64,SAE,expected,"I have received everything I have ever wanted because she makes me better. She needs to wake them up or they willnever be able to gain weight
"
65,64,AAE,unexpected,"i got everything i ever wanted be she makes me better rs she better wake up these lil nigga willneva get thy weight up
"
65,65,SAE,expected,"I really miss Pat and Maurice staying here, they used toaccept my offers all the time
"
66,65,AAE,unexpected,"Low key I do miss pat and Maurice staying here with me they use to bethe bid all day everyday
"
66,66,SAE,expected,"It is hard to be just be friends with someone you usedto be in love with
"
67,66,AAE,unexpected,"You really can't ever be just friends with someone you usedto be in love with.
"
67,67,SAE,expected,"Everyone, lock up your man, because I will try and take your man and you will neverknow, so be careful everyone
"
68,67,AAE,unexpected,"everyone lock y'all man up cause will try and take ur man and u will neverknow so be careful y'all
"
68,68,SAE,expected,"Not a single person is immune from the trials and tribulations of life, if you think youare, just keep doing what you have been doing
"
69,68,AAE,unexpected,"NO ONE is immune from the trials and tribulations of life, if you think youare, just keep on living.... 
"
69,69,SAE,expected,"Bad grammar is my pet peeve! Everyone needs help grammatically from time to time, butthat is what Google is for
"
70,69,AAE,unexpected,"Bad GRAMMER is my Pet PEEVE!!!!!!! EVERYONE needs help from time to time grammatically, butthat what GOOGLE is for!!!
"
70,70,SAE,expected,"I'm on the phone with my grandma and she keeps saying \""we're going to get off the phone now,\"" but then she keeps talking! Come on
"
71,70,AAE,unexpected,"Ona phn with my grandma an he keep sayn we gon get off the phn now but thn shekeep talkn .! Come on
"
71,71,SAE,expected,"So, apparently, Bey sang/lipped to a prerecorded tape of her version of the anthem at the inauguration.
"
72,71,AAE,unexpected,"So apparantly Bey sang/lipped to a pre recorded tape of her version ofthe anthem at the inauguration
"
72,72,SAE,expected,"I love Vineyard seven and eight! I was supposed to have a tasting/tour there todaybut I had to cancel.
"
73,72,AAE,unexpected,"Love vineyard 7&8! I was supposed to have a tasting/tour there todaybut had to cancel :(
"
73,73,SAE,expected,"A study of delicious coffee, chocolate, bourbon, gin, pine and pizzaHave a good night gentlemen
"
74,73,AAE,unexpected,"A study in delicious coffee, chocolate, bourbon, gin, pine, & pizza.Have a good night gents.
"
74,74,SAE,expected,"If you're my friend, really my friend, go and get some girlsand bring them to me
"
75,74,AAE,unexpected,"If u fuckin with me.... Really fuckin with me u go get sum girlsn bring em to me
"
75,75,SAE,expected,"He must not know that I don't like the bitch word, \""homie\"". That word cause a coupleof teeth to go missing
"
76,75,AAE,unexpected,"He must not know I don't do the bitch word homie..that word causes for a coupleof teeth to go missing..
"
76,76,SAE,expected,"Mommy asked me to go grocery shopping with her and my grandma. No, I’m good. They will bein the store for hours.
"
77,76,AAE,unexpected,"Mommie asked me to go grocery shopping with her and my grandma... Naw I'm good they bein the store for hours..
"
77,77,SAE,expected,"You can’t lose what you never had, you can’t keep what’s not yours, and you can’t hold onto somethingthat doesn’t want to stay.
"
78,77,AAE,unexpected,"You can't lose what you never had, you can't keep what's not yours & you can't hold on to something that doesn't want to stay.
"
78,78,SAE,expected,"Girls want to know...girls want to show...they know my name they know a..i'm stron
"
79,78,AAE,unexpected,"Hoes wanna know..hoes wanna show..they know a nigga name they know anigga strong (Rick Ross voice)
"
79,79,SAE,expected,"I’m going to let you all know soon and you are coming even if I have to drag you out of the house.
"
80,79,AAE,unexpected,"imma let y'all know soon and you coming if I have todrag u out the house
"
80,80,SAE,expected,"I tried to feed you boys, now it's time foryou boys to go to be
"
81,80,AAE,unexpected,"I try to let u pussy niggas eat its time to putu pussy boys to sleep
"
81,81,SAE,expected,"That’s not going to be hard. All I need to do is pass this testtomorrow and pass my midterms.
"
82,81,AAE,unexpected,"But that ain't gon be hard all I Need to do is pass this testtomorrow and pass my midterms
"
82,82,SAE,expected,"He is mad that he came over to my house unannounced and I wasnot there. That is not my issue to deal with
"
83,82,AAE,unexpected,"He mad He came over My House unannounced and I wasgone. Not My Problem !
"
83,83,SAE,expected,"I am tired of always playing in the back. I am going to increase the intensityof the game. Definitely
"
84,83,AAE,unexpected,"I'm tired of playing the back. I'm bout to bring some fireto the game. Real talk!!!
"
84,84,SAE,expected,"With everything you just said, the injuries were still in place to make the post season. Firing Garrett would do nothing.
"
85,84,AAE,unexpected,"with everything you just said injuries they still were in place to make the postseasonFiring Garrett would do nothing
"
85,85,SAE,expected,"If she liked the first gift, that is only the tip of the iceberg. Ihave a trick up my sleeve
"
86,85,AAE,unexpected,"if she liked the first gift thats only the tip of the icebergh igot a trick up mysleeve
"
86,86,SAE,expected,"If I was with her tonight I would kiss her. Unfortunately it is too late, so I will kiss my handinstead. I am laughing, well darn, hopefully tomorrow
"
87,86,AAE,unexpected,"If I was with tonight, I'd kiss her. Too late. (Kisses hand instead)"" Awww <3 tomorrow lol
"
87,87,SAE,expected,"What the fuck is so difficult about coming back to pick up a badge so that your check is correct. I am not goingto clock you in. Shake my head
"
88,87,AAE,unexpected,"Wtf is so hard about coming to pick up a badge so your check is correct..: I'm not aboutto clock you in. Smh
"
88,88,SAE,expected,"I got some new lipstick in the mail and her damn hair oils. It had me excited thinking it was my phone cases.
"
89,88,AAE,unexpected,"Got some new lipstick in the mail and got her damn hair oils. Had me excited likeit was my phone cases
"
89,89,SAE,expected,"I am whom you want and what you need. She has you trapped, but i can set you free, sexually, mentally, psychically, and emotionally.
"
90,89,AAE,unexpected,"I'm what you want. I'm what you need. She got you trapped ill set youfree. Sexually, mentally, psychically, emotionally
"
90,90,SAE,expected,"Although I am up, my boss said to weight whether it is safe for me to go to work. So I am going, but I am going to takemy time as I do not have time to mess up
"
91,90,AAE,unexpected,"So I'm up... But my boss said gage whether its safe for me to go to work... I'm going but I'm gonna takemy time...no time for accidents
"
91,91,SAE,expected,"The older the berry the sweeter the juice. Friend, it is the blacker the berry the sweeter the juice. Well yes, then sheis blacker than others too
"
92,91,AAE,unexpected,"Older the berry the sweeter the juice... Man it's the blacker the berry the sweeter the juice. Well yea sheblack then a muhfucka too
"
92,92,SAE,expected,"If I was Olivia I wouldn't do the record either.  She has got to know that after last season her music isn't going anywhere.isn't going anywhere
"
93,92,AAE,unexpected,"I mean if I was Olivia I wouldn't do the record either but she gotta know even after last season her musicisn't going anywhere with
"
93,93,SAE,expected,"I know how to work the system. The clothes I bring in look better than what they haveon their backs now.
"
94,93,AAE,unexpected,"I know how to work the system the clothes I bring in looks better than what they haveon their backs how
"
94,94,SAE,expected,"Gatorade and Powerade used to be so nasty to me butnow I love that shit.
"
95,94,AAE,unexpected,"Gatorade and powerade use to be so nasty to me butnow I luh Dat shit
"
95,95,SAE,expected,"That’s funny. I had to go see this tweet for myself. It’s ashame it’s the truth, though.
"
96,95,AAE,unexpected,"lmaooo I had to go see this tweet for myself... It's ashame it's the truth tho
"
96,96,SAE,expected,"Every person looks great, therefore, if I was not black, Iwould prefer to be Persian
"
97,96,AAE,unexpected,"they all look good that's why if I wasn't black Iwould hope I was Persian
"
97,97,SAE,expected,"Or go to food services, but either way, corporate needs to send them some damn sauce
"
98,97,AAE,unexpected,"or go to food services but either way corporate need tosend them some damn sauce
"
98,98,SAE,expected,"I could accept us not being together but I couldn't accept us not being friends and nowit seems like I can.
"
99,98,AAE,unexpected,"I could accept us not being together but i couldn't accept us not being friends and nowit seems like i can
"
99,99,SAE,expected,"In NCAAB, Texas A&M Elston Turner scores 40 points in an 83-71 win by Kentucky. It was the first SEC homeloss for John Calipari.
"
100,99,AAE,unexpected,"NCAAB - Texas A&M G Elston Turner scores 40 pts in 83-71 win at Kentucky; 1st SEC homeloss for John Calipari lose
"
100,100,SAE,expected,"My mother disappoints me sometimes...why does my lifehave to be harder? gosh.
"
101,100,AAE,unexpected,"My mom blows the fuck out of me at times... Fuck my lifehave to harder for? Damn
"
101,101,SAE,expected,"Boy, Teya is trying to see granny and such. I'm going to see though, i'm going tohit your boost! No questions
"
102,101,AAE,unexpected,"boy teya tryin go see granny, & shit. Ima see doe, imahit ur boost!"" No questions
"
102,102,SAE,expected,"I got the jack. What else do I need? I need sugar and pebbles.That is in it
"
103,102,AAE,unexpected,"I got the jack wat else I need sugar wats dem pebblesthat be in that shit
"
103,103,SAE,expected,"I'm tired of so many people. \""I\""m so shady\"" \""Hi! What's going on?\"" I'm at theABC store with it. I'm going to talk to you.
"
104,103,AAE,unexpected,"I'm over so many ppl , I'm so shady"" aye wats good"" I'm at theabc store with it""ima holla
"
104,104,SAE,expected,"Ten dollars for a call from jail. This shit is over with. See you when you come home, brother.
"
105,104,AAE,unexpected,"Ten dollars from a call from jail... Shit over wit... See uwhen u come home bro
"
105,105,SAE,expected,"I think there is a raccoon or possum walking around in my house, I'mreally scared right no
"
106,105,AAE,unexpected,"I think it's a raccon or possum walkin round my house I'mscared ass shit rite now
"
106,106,SAE,expected,"People's whose kids are named after stores aren't going to be able to spell their names until they're twelve...and write their name in cursiveuntil they're like twenty. I'm shaking my head.
"
107,106,AAE,unexpected,"Ppl kids name after stores aint Goin be able to spell them joints till they twelve...and write they name in cursivetill they like 20 smh
"
107,107,SAE,expected,"The two for ten deal at Friday's is worth it because the food is served quickly because fast food restaurants want to servetrash food quickly for ten dollars.
"
108,107,AAE,unexpected,"2 for 10 at Fridays be so clutch for the quickness cuz fast food joints want10 dillas for some trash
"
108,108,SAE,expected,"People's meals on instagram look like some real trash. Keep that shit in your house!
"
109,108,AAE,unexpected,"Ppl plates on the gram be lookin like some straight trashkeep that shit in house!!!
"
109,109,SAE,expected,"I just called my girlfriend and she finished schoolshe smoke my joint to
"
110,109,AAE,unexpected,"I jus call boo and she finished Skool she drink andshe smoke my reefer too...
"
110,110,SAE,expected,"I'm about to look at forty meals on instagram that will get meexcited. I'm starving. Damn.
"
111,110,AAE,unexpected,"Bout to see like 40 plates on the gram get meheated I'm starving like shit
"
111,111,SAE,expected,"Boy, you have two different females texting you. So I'm going to havetwo different men texting me.
"
112,111,AAE,unexpected,"Boaaaa, u got TWO DIFFERENT FEMALES TEXTING YOU.... SOOOO IMAA HAVETWO DIFFERENT NIGGA TEXTING ME.
"
112,112,SAE,expected,"70 degrees in Nashville. About to take a trip and then heading to the bar to get drunk. After that I will be.
"
113,112,AAE,unexpected,"70 degrees in Nashville. Bout to take a trip to and then heading to get my drunk on. After thatI will be at .
"
113,113,SAE,expected,"In the same way, they announced the arrival of my train after itpulled off, I'm so not happy
"
114,113,AAE,unexpected,"Continuing the same way, they announced the arrival of my train after itpulls off, so not happy
"
114,114,SAE,expected,"Women get into trouble in on the streets and when someone pressures themthey tell the police
"
115,114,AAE,unexpected,"Females be get they self into street shit but wen somebody put pressure on theyass they tell the police
"
115,115,SAE,expected,"A.J., have you ever thought about leaving TNA and going to the WWW? With your skills, they wouldn'tknow what hit them. Trust me
"
116,115,AAE,unexpected,"A.J., have u ever thought about leaving TNA and going to the WWW? With your skills, they wouldn'tknow what hit them.trust me.
"
116,116,SAE,expected,"I had no choice! I was already all into the television showand couldn't look away. I'm laughing!
"
117,116,AAE,unexpected,"i had no choice ! Like i was already all into the tvand couldn't look away lol
"
117,117,SAE,expected,"When I see a pretty girl who has a weave it is the same as seeing a man with an inky black dye combed through his hair
"
118,117,AAE,unexpected,"When I see a pretty girl with weave its the equivalent to a girl seeing a dudewith Beijing in his hair""
"
118,118,SAE,expected,"It is funny watching Negros go through problems like I do but it is not funny when I go  through shit. Fuck it though.
"
119,118,AAE,unexpected,"It's funny a watching niggas go thru problems like I do but it's not funny when I gothru shit fuck it tho
"
119,119,SAE,expected,"Men, call a single woman that's been ignored lately. Say you need to do something nice for her and make her feel goodand kiss he
"
120,119,AAE,unexpected,"Fellas call dat single chick dats been sitting outt all cuffing season, say u gonna shovel her snow, ring her belland kiss her in mouth
"
120,120,SAE,expected,"She is going to have to make a decision right then and there. Kiss on the mouth withan ass grab...or no snow shovel.
"
121,120,AAE,unexpected,"She gonna have to make a decision right then and there...Kiss in mouth withass grab...or no snow shovel...
"
121,121,SAE,expected,"Soon the people that don't play basketball are going to say that Griner could play in the NBA, when she actually couldn't make a division 1 or a division 2 team.
"
122,121,AAE,unexpected,"Soon the none basketball playing in LIFE clowns are gonna say Griner could play NBA ball...when she couldn't makea D1 or D2 team.
"
122,122,SAE,expected,"Middle age buddy that shovel that is for his ride and had a bad day going to be onsome bus driver stuff, that's funny
"
123,122,AAE,unexpected,"middle age buddy dat shovel dat ish for his whip and had a bad day gonna be onsome bus driver ish lol
"
123,123,SAE,expected,"Sadly, so many high schools have crippled these players academically, that even JUCO is hard for them.
"
124,123,AAE,unexpected,"Sadly so many HS has crippled these players academically that evenJUCO is hard for them...
"
124,124,SAE,expected,"Tell them what happened to the mouse in the house the next next play though. (Then askwho won all the games).
"
125,124,AAE,unexpected,"tell em what happen to the mouse n the house the VERY next play tho (den askwho won ALL the games)
"
125,125,SAE,expected,"Have you ever bumped into someone your age and he still takes gang banging seriously? At what age does a reference to another gangnot make you want to fight
"
126,125,AAE,unexpected,"U eva bump into a nigga yo age and he STILL take Gang banging serious? At what age do a reference of another gangNOT make u wanna fight?
"
126,126,SAE,expected,"Dear Greeks, if by thirty becoming a member of your organization is your greatest achievement, you don't deserve your fucking letters.
"
127,126,AAE,unexpected,"Dear Greeks, If by 30 becoming a member of your org is ur greatest achievement...Udon't deserve ur fucking letters.
"
127,127,SAE,expected,"Once I am able to escape this competitive struggle for wealth and power I will be taking daytime naps and I will go to the chiropractor.
"
128,127,AAE,unexpected,"I swear when I get out this rat race imma be taking middaynaps and going to chiropractor...
"
128,128,SAE,expected,"Ladies, the older you are in life the more things you aregoing to have to sift through
"
